Eyes,Nose,Mouth,File Name,Encoded
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - open,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClMYXJnZXIgbW91dGggLSBvcGVu
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - closed,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - open,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - closed,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - open,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClUaGlubmVyIGxpcHMgLSBvcGVu
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - closed,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Smiling - open,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClTbWlsaW5nIC0gb3Blbg==
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Smiling - closed,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClTbWlsaW5nIC0gY2xvc2Vk
Eyes closed,Nostrils upturned (allowing the users to see into the nostrils a bit),Mouth open with teeth visible,,RXllcyBjbG9zZWROb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the sclera (all black),,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjayk=
Eyes without the sclera (all black),,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the sclera (all black),,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the sclera (all black),,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWlsaW5nIC0gb3Blbg==
Eyes without the sclera (all black),,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWlsaW5nIC0gY2xvc2Vk
Eyes without the sclera (all black),,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the sclera (all black),Larger nose,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZQ==
Eyes without the sclera (all black),Larger nose,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZUxhcmdlciBtb3V0aCAtIG9wZW4=
Eyes without the sclera (all black),Larger nose,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZUxhcmdlciBtb3V0aCAtIGNsb3NlZA==
Eyes without the sclera (all black),Larger nose,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZUZ1bGxlciBsaXBzIC0gb3Blbg==
Eyes without the sclera (all black),Larger nose,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZUZ1bGxlciBsaXBzIC0gY2xvc2Vk
Eyes without the sclera (all black),Larger nose,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZVRoaW5uZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),Larger nose,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZVRoaW5uZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),Larger nose,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZVNtaWxpbmcgLSBvcGVu
Eyes without the sclera (all black),Larger nose,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZVNtaWxpbmcgLSBjbG9zZWQ=
Eyes without the sclera (all black),Larger nose,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zZU1vdXRoIG9wZW4gd2l0aCB0ZWV0aCB2aXNpYmxl
Eyes without the sclera (all black),Smaller nose,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2U=
Eyes without the sclera (all black),Smaller nose,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the sclera (all black),Smaller nose,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the sclera (all black),Smaller nose,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),Smaller nose,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),Smaller nose,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Smaller nose,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Smaller nose,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VTbWlsaW5nIC0gb3Blbg==
Eyes without the sclera (all black),Smaller nose,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VTbWlsaW5nIC0gY2xvc2Vk
Eyes without the sclera (all black),Smaller nose,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the sclera (all black),Larger nostrils,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHM=
Eyes without the sclera (all black),Larger nostrils,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the sclera (all black),Larger nostrils,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the sclera (all black),Larger nostrils,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),Larger nostrils,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),Larger nostrils,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Larger nostrils,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Larger nostrils,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNTbWlsaW5nIC0gb3Blbg==
Eyes without the sclera (all black),Larger nostrils,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNTbWlsaW5nIC0gY2xvc2Vk
Eyes without the sclera (all black),Larger nostrils,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylMYXJnZXIgbm9zdHJpbHNNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the sclera (all black),Smaller nostrils,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxz
Eyes without the sclera (all black),Smaller nostrils,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes without the sclera (all black),Smaller nostrils,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes without the sclera (all black),Smaller nostrils,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Smaller nostrils,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Smaller nostrils,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes without the sclera (all black),Smaller nostrils,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes without the sclera (all black),Smaller nostrils,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
Eyes without the sclera (all black),Smaller nostrils,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
Eyes without the sclera (all black),Smaller nostrils,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylTbWFsbGVyIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes without the sclera (all black),Wider bridge,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2U=
Eyes without the sclera (all black),Wider bridge,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the sclera (all black),Wider bridge,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the sclera (all black),Wider bridge,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),Wider bridge,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),Wider bridge,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Wider bridge,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Wider bridge,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VTbWlsaW5nIC0gb3Blbg==
Eyes without the sclera (all black),Wider bridge,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VTbWlsaW5nIC0gY2xvc2Vk
Eyes without the sclera (all black),Wider bridge,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylXaWRlciBicmlkZ2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the sclera (all black),Narrower bridge,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2U=
Eyes without the sclera (all black),Narrower bridge,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the sclera (all black),Narrower bridge,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the sclera (all black),Narrower bridge,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),Narrower bridge,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),Narrower bridge,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Narrower bridge,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Narrower bridge,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VTbWlsaW5nIC0gb3Blbg==
Eyes without the sclera (all black),Narrower bridge,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VTbWlsaW5nIC0gY2xvc2Vk
Eyes without the sclera (all black),Narrower bridge,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOYXJyb3dlciBicmlkZ2VNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the sclera (all black),Broader/wider,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVy
Eyes without the sclera (all black),Broader/wider,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes without the sclera (all black),Broader/wider,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes without the sclera (all black),Broader/wider,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyRnVsbGVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Broader/wider,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Broader/wider,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes without the sclera (all black),Broader/wider,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes without the sclera (all black),Broader/wider,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyU21pbGluZyAtIG9wZW4=
Eyes without the sclera (all black),Broader/wider,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyU21pbGluZyAtIGNsb3NlZA==
Eyes without the sclera (all black),Broader/wider,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylCcm9hZGVyL3dpZGVyTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes without the sclera (all black),No visible nostrils,,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxz
Eyes without the sclera (all black),No visible nostrils,Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gb3Blbg==
Eyes without the sclera (all black),No visible nostrils,Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzTGFyZ2VyIG1vdXRoIC0gY2xvc2Vk
Eyes without the sclera (all black),No visible nostrils,Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),No visible nostrils,Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzRnVsbGVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),No visible nostrils,Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gb3Blbg==
Eyes without the sclera (all black),No visible nostrils,Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzVGhpbm5lciBsaXBzIC0gY2xvc2Vk
Eyes without the sclera (all black),No visible nostrils,Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzU21pbGluZyAtIG9wZW4=
Eyes without the sclera (all black),No visible nostrils,Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzU21pbGluZyAtIGNsb3NlZA==
Eyes without the sclera (all black),No visible nostrils,Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylObyB2aXNpYmxlIG5vc3RyaWxzTW91dGggb3BlbiB3aXRoIHRlZXRoIHZpc2libGU=
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdCk=
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClMYXJnZXIgbW91dGggLSBvcGVu
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Larger mouth - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClMYXJnZXIgbW91dGggLSBjbG9zZWQ=
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClGdWxsZXIgbGlwcyAtIG9wZW4=
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Fuller lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClGdWxsZXIgbGlwcyAtIGNsb3NlZA==
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClUaGlubmVyIGxpcHMgLSBvcGVu
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Thinner lips - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClUaGlubmVyIGxpcHMgLSBjbG9zZWQ=
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Smiling - open,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClTbWlsaW5nIC0gb3Blbg==
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Smiling - closed,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClTbWlsaW5nIC0gY2xvc2Vk
Eyes without the sclera (all black),Nostrils upturned (allowing the users to see into the nostrils a bit),Mouth open with teeth visible,,RXllcyB3aXRob3V0IHRoZSBzY2xlcmEgKGFsbCBibGFjaylOb3N0cmlscyB1cHR1cm5lZCAoYWxsb3dpbmcgdGhlIHVzZXJzIHRvIHNlZSBpbnRvIHRoZSBub3N0cmlscyBhIGJpdClNb3V0aCBvcGVuIHdpdGggdGVldGggdmlzaWJsZQ==
Eyes without the iris and pupil (completely white),,,,RXllcyB3aXRob3V0IHRoZSBpcmlzIGFuZCBwdXBpbCAoY29tcGxldGVseSB3aGl0ZSk=
